效率曲线数据提取结果
====================
扭矩 T (N·m)	效率 η (%)
----------------------------
0.2584		70.47
0.2592		70.47
0.2600		70.41
0.2608		70.35
0.2617		70.29
0.2625		70.23
0.2633		70.17
0.2642		70.11
0.2650		70.05
0.2658		70.05
0.2666		70.05
0.2675		70.05
0.2683		70.05
0.2691		70.05
0.2699		70.05
0.2708		69.99
0.2716		69.93
0.2724		69.87
0.2732		69.80
0.2741		69.74
0.2749		69.68
0.2757		69.62
0.2765		69.62
0.2774		69.62
0.2782		69.56
0.2790		69.50
0.2798		69.44
0.2807		69.38
0.2815		69.32
0.2823		69.26
0.2831		69.14
0.2840		69.08
0.2848		69.02
0.2856		68.96
0.2864		68.89
0.2873		68.77
0.2881		68.65
0.2889		68.59
0.2897		68.53
0.2906		68.47
0.2914		68.35
0.2922		68.23
0.2930		68.17
0.2939		68.11
0.2947		67.99
0.2955		67.86
0.2963		67.74
0.2972		67.68
0.2980		67.62
0.2988		67.56
0.2996		67.50
0.3005		67.50
0.3013		67.50
0.3021		67.50
0.3029		67.50
0.3038		67.50
0.3046		67.50
0.3054		67.44
0.3062		67.32
0.3071		67.20
0.3079		67.08
0.3087		66.89
0.3096		66.65
0.3104		66.35
0.3112		65.98
0.3120		65.56
0.3129		64.95
0.3137		64.10
0.3145		63.01
0.3153		61.56
0.3162		59.74
0.3170		57.49
0.3178		54.64
0.3186		51.19
0.3195		47.00
0.3203		45.07
0.3211		42.96
0.3219		40.54

----------------------------
峰值效率: 72.1698% @ T = 0.126297 N·m
总数据点: 384
