扭矩(N·m)	效率(%)
1.323750	0.84
1.327500	0.80
1.331250	0.76
1.335000	0.72
1.338750	0.68
1.342500	0.64
1.346250	0.60
1.350000	0.56
1.353750	0.52
1.357500	0.48
1.361250	0.44
1.365000	0.40
1.368750	0.36
1.372500	0.32
1.376250	0.28
1.380000	0.24
1.383750	0.20
1.387500	0.16
1.391250	0.12
1.395000	0.08
1.398750	0.04
1.402500	0.00
1.406250	0.00
1.410000	0.00
1.413750	0.00
1.417500	0.00
1.421250	0.00
1.425000	0.00
1.428750	0.00
1.432500	0.00
1.436250	0.00
1.440000	0.00
1.443750	0.00
1.447500	0.00
1.451250	0.00
1.455000	0.00
1.458750	0.00
1.462500	0.00
1.466250	0.00
1.470000	0.00
1.473750	0.00
1.477500	0.00
1.481250	0.00
1.485000	0.00
1.488750	0.00
1.492500	0.00
1.496250	0.00
1.500000	0.00
