I1,I2,I3
1.4462,22.9672,-1.0339
1.3663,11.0073,-0.7959
1.5699,7.938,-0.3442
1.366,6.7737,-0.1392
1.366,7.3029,-0.2368
1.4456,3.9161,-0.0623
1.6489,1.2701,-0.0623
1.6489,0.2117,0.0916
1.4456,0.2117,-0.0049
1.6489,0.4234,-0.0037
1.4452,0.635,0.0085
1.1697,0.635,0.0842
1.7649,1.0584,0.1721
1.6487,1.2701,0.0903
1.8449,1.2701,0.1709
2.0407,0,0.0952
1.8442,-0.3175,0.094
1.3652,-0.5292,0.1672
1.6487,0,0.1624
1.7644,0,0.1672
1.5686,0,0.0916
1.3654,0,0.1672
1.648,0,0.1709
1.5682,0,0.1672
1.3656,0,0.1709
1.5684,0,0.0952
1.9609,-0.3175,0.1697
1.1691,0,0.0134
1.4451,-0.3175,0.1697
1.5689,0,0.166
1.4455,0,0.2466
1.6487,0,0.1733
1.5686,0,0.1697
1.3656,0,0.2466
1.3657,0,0.2466
1.2492,0,0.1697
1.8449,0,0.166
2.0404,0,0.0903
2.0407,0,0.2429
1.3652,0,0.1697
1.2494,0,0.2466
1.1694,0,0.1697
1.6483,0,0.2466
1.6487,0,0.2466
1.3654,0,0.3223
1.4455,0,0.2466
1.5686,0,0.0903
1.4452,0,0.0903
1.5686,0,0.094
1.1694,0,0.166
1.7644,0,0.0903
1.4451,0,0.166
1.365,0,0.2466
1.5686,0,0.2466
1.3657,0,0.249
1.3656,0,0.1697
1.5686,0,0.1697
1.3657,0,0.2466
1.6487,0,0.1648
1.5689,0,-0.1355
1.5689,0,0.1733
1.1697,0,0.0879
1.2496,0,0.0903
2.041,0,0.166
1.7646,0,0.2429
1.5689,0,0.094
1.4455,-0.3175,0.1697
1.4455,0,0.1648
1.0535,0,0.094
1.5689,0,0.166
1.7646,0,0.1697
2.041,0,0.094
1.3654,0,0.0903
1.5686,0,0.094
1.3654,0,0.094
1.6487,0,0.166
1.8444,0,0.166
1.5689,0,0.166
1.3657,0,0.1697
1.5686,0,0.0903
1.6485,0,0.0903
1.9606,0,0.166
1.6485,0,0.166
1.4455,0,0.166
1.6487,0,0.1697
1.4456,-0.5292,0.0122
1.4455,-0.3175,0.0928
1.9606,0,0.0928
1.8447,0,0.0916
1.8449,0,0.0916
1.6485,0,0.0916
1.3657,0,0.0916
1.8449,0,0.0916
1.3654,0,0.0928
1.7646,0,0.0928
1.6485,0,0.0916
1.4451,0,0.1685
1.3657,0,-0.2954
1.7649,0,0.0134
1.0533,0,0.0928
1.4452,0,0.0134
0.9734,0,0.0122
1.5689,0,0.0134
1.5686,0,0.0916
1.6487,0,0.0916
1.0534,0,-0.0635
1.3656,0,0.0916
1.5689,0,0.0891
1.8449,0,0.0891
2.1642,0,0.0916
1.8449,0,0.0134
2.0402,-0.3175,0.0122
1.2494,-0.3175,0.0903
1.0533,0,0.0916
1.7649,0,0.0916
1.7644,0,0.0134
1.6485,0,0.0122
1.6487,0,-0.0635
1.2491,0,0.0134
1.569,0,0.0134
1.7651,0,0.0122
1.7651,0,0.0122
1.2492,0,0.0122
1.6483,0,0.0134
1.1696,0,-0.0635
1.7649,0,0.0122
1.5684,0,0.0134
1.3656,0,0.0916
1.4451,0,0.0122
1.1694,0,0.0916
1.6483,0,0.0122
1.8449,0,0.0134
1.5689,0,0.0134
1.8449,0,0.1685
1.7649,0,0.0122
1.5684,0,-0.0635
1.3654,0,0.0134
1.7649,0,0.0134
